mcid,program,peer_group
MCID3111248383,Mechanical,starters
MCID3111248603,Mechanical,starters
MCID3111248927,Civil,starters
MCID3111248929,Electrical,starters
MCID3111248996,Industrial,starters
MCID3111249004,Electrical,starters
MCID3111249006,Electrical,starters
MCID3111249009,Mechanical,starters
MCID3111249023,Electrical,starters
MCID3111249032,Electrical,starters
MCID3111249393,Industrial,starters
MCID3111249447,Civil,starters
MCID3111249947,Mechanical,starters
MCID3111249956,Industrial,starters
MCID3111249961,Civil,starters
MCID3111249973,Civil,starters
MCID3111249988,Industrial,starters
MCID3111249995,Mechanical,starters
MCID3111250054,Electrical,starters
MCID3111250059,Mechanical,starters
MCID3111250111,Electrical,starters
MCID3111250119,Mechanical,starters
MCID3111250124,Mechanical,starters
MCID3111250132,Electrical,starters
MCID3111250338,Industrial,starters
MCID3111250629,Civil,starters
MCID3111250630,Industrial,starters
MCID3111250654,Civil,starters
MCID3111250695,Civil,starters
MCID3111250700,Electrical,starters
MCID3111250887,Industrial,starters
MCID3111251171,Mechanical,starters
MCID3111251174,Mechanical,starters
MCID3111251176,Mechanical,starters
MCID3111251394,Civil,starters
MCID3111251565,Industrial,starters
MCID3111251575,Industrial,starters
MCID3111251607,Civil,starters
MCID3111251925,Mechanical,starters
MCID3111251939,Mechanical,starters
MCID3111252112,Mechanical,starters
MCID3111252344,Electrical,starters
MCID3111252346,Mechanical,starters
MCID3111252350,Mechanical,starters
MCID3111252353,Mechanical,starters
MCID3111252385,Electrical,starters
MCID3111252398,Electrical,starters
MCID3111252404,Mechanical,starters
MCID3111252519,Mechanical,starters
MCID3111252522,Mechanical,starters
MCID3111252708,Mechanical,starters
MCID3111252711,Mechanical,starters
MCID3111252713,Civil,starters
MCID3111252719,Electrical,starters
MCID3111252735,Industrial,starters
MCID3111252746,Electrical,starters
MCID3111252933,Industrial,starters
MCID3111252936,Civil,starters
MCID3111253164,Civil,starters
MCID3111253175,Mechanical,starters
MCID3111253194,Electrical,starters
MCID3111253216,Civil,starters
MCID3111253227,Mechanical,starters
MCID3111253229,Electrical,starters
MCID3111253444,Mechanical,starters
MCID3111253446,Mechanical,starters
MCID3111253450,Industrial,starters
MCID3111253461,Mechanical,starters
MCID3111253634,Mechanical,starters
MCID3111253642,Electrical,starters
MCID3111253792,Electrical,starters
MCID3111253842,Mechanical,starters
MCID3111253909,Industrial,starters
MCID3111254013,Mechanical,starters
MCID3111254097,Mechanical,starters
MCID3111254099,Mechanical,starters
MCID3111254119,Electrical,starters
MCID3111254313,Mechanical,starters
MCID3111254314,Electrical,starters
MCID3111254327,Electrical,starters
MCID3111257867,Civil,starters
MCID3111258296,Electrical,starters
MCID3111258297,Mechanical,starters
MCID3111260184,Mechanical,starters
MCID3111260593,Electrical,starters
MCID3111260790,Electrical,starters
MCID3111261414,Electrical,starters
MCID3111261592,Mechanical,starters
MCID3111261637,Electrical,starters
MCID3111261684,Electrical,starters
MCID3111261803,Mechanical,starters
MCID3111261809,Electrical,starters
MCID3111261894,Electrical,starters
MCID3111261965,Civil,starters
MCID3111261986,Electrical,starters
MCID3111262014,Mechanical,starters
MCID3111262036,Mechanical,starters
MCID3111262127,Electrical,starters
MCID3111262170,Mechanical,starters
MCID3111262186,Electrical,starters
MCID3111264749,Mechanical,starters
MCID3111264874,Mechanical,starters
MCID3111264877,Electrical,starters
MCID3111264903,Electrical,starters
MCID3111264932,Mechanical,starters
MCID3111264960,Electrical,starters
MCID3111265126,Electrical,starters
MCID3111265176,Mechanical,starters
MCID3111265247,Electrical,starters
MCID3111265258,Mechanical,starters
MCID3111265573,Mechanical,starters
MCID3111265652,Electrical,starters
MCID3111265814,Electrical,starters
MCID3111268727,Mechanical,starters
MCID3111269712,Electrical,starters
MCID3111270231,Electrical,starters
MCID3111272661,Electrical,starters
MCID3111272722,Mechanical,starters
MCID3111273033,Mechanical,starters
MCID3111273593,Electrical,starters
MCID3111277121,Electrical,starters
MCID3111277507,Civil,starters
MCID3111277787,Electrical,starters
MCID3111278426,Mechanical,starters
MCID3111282829,Mechanical,starters
MCID3111283054,Electrical,starters
MCID3111284360,Electrical,starters
MCID3111284441,Civil,starters
MCID3111286412,Civil,starters
MCID3111286490,Civil,starters
MCID3111286520,Mechanical,starters
MCID3111286723,Civil,starters
MCID3111286853,Civil,starters
MCID3111286934,Industrial,starters
MCID3111287746,Mechanical,starters
MCID3111287933,Mechanical,starters
MCID3111288045,Industrial,starters
MCID3111291605,Industrial,starters
MCID3111292135,Mechanical,starters
MCID3111296062,Civil,starters
MCID3111297774,Electrical,starters
MCID3111298568,Mechanical,starters
MCID3111298812,Industrial,starters
MCID3111299072,Industrial,starters
MCID3111299466,Civil,starters
MCID3111299531,Mechanical,starters
MCID3111299792,Mechanical,starters
MCID3111300144,Civil,starters
MCID3111300184,Industrial,starters
MCID3111300476,Electrical,starters
MCID3111300495,Mechanical,starters
MCID3111301414,Mechanical,starters
MCID3111301424,Electrical,starters
MCID3111301449,Electrical,starters
MCID3111301718,Mechanical,starters
MCID3111302407,Mechanical,starters
