mcid,program,peer_group
MCID3112239535,Civil,starters
MCID3112239671,Mechanical,starters
MCID3112239708,Mechanical,starters
MCID3112239745,Civil,starters
MCID3112239813,Mechanical,starters
MCID3112239933,Mechanical,starters
MCID3112240088,Mechanical,starters
MCID3112240206,Mechanical,starters
MCID3112240702,Electrical,starters
MCID3112240871,Civil,starters
MCID3112241471,Mechanical,starters
MCID3112241514,Mechanical,starters
MCID3112241773,Mechanical,starters
MCID3112242302,Mechanical,starters
MCID3112242564,Mechanical,starters
MCID3112242567,Mechanical,starters
MCID3112242794,Mechanical,starters
MCID3112243023,Mechanical,starters
MCID3112243054,Mechanical,starters
MCID3112243083,Mechanical,starters
MCID3112243504,Civil,starters
MCID3112243548,Civil,starters
MCID3112243918,Mechanical,starters
MCID3112243940,Mechanical,starters
MCID3112243956,Mechanical,starters
MCID3112244125,Electrical,starters
MCID3112244460,Mechanical,starters
MCID3112244839,Electrical,starters
MCID3112244915,Mechanical,starters
MCID3112245016,Electrical,starters
MCID3112245032,Mechanical,starters
MCID3112245134,Electrical,starters
MCID3112245179,Mechanical,starters
MCID3112245286,Civil,starters
MCID3112245314,Electrical,starters
MCID3112245336,Civil,starters
MCID3112245422,Electrical,starters
MCID3112246437,Civil,starters
MCID3112246757,Electrical,starters
MCID3112246836,Mechanical,starters
MCID3112252824,Civil,starters
MCID3112252838,Mechanical,starters
MCID3112252925,Mechanical,starters
MCID3112254621,Electrical,starters
MCID3112254683,Mechanical,starters
MCID3112260080,Mechanical,starters
MCID3112263099,Mechanical,starters
MCID3112264002,Mechanical,starters
MCID3112266148,Mechanical,starters
MCID3112270572,Mechanical,starters
MCID3112270648,Electrical,starters
MCID3112270690,Electrical,starters
MCID3112270908,Electrical,starters
MCID3112271197,Mechanical,starters
MCID3112271446,Mechanical,starters
MCID3112273023,Electrical,starters
MCID3112288486,Civil,starters
MCID3112288873,Mechanical,starters
MCID3112289673,Mechanical,starters
MCID3112290050,Mechanical,starters
MCID3112290146,Electrical,starters
MCID3112290155,Mechanical,starters
MCID3112290475,Mechanical,starters
MCID3112291059,Mechanical,starters
MCID3112291138,Electrical,starters
MCID3112291385,Civil,starters
MCID3112291489,Civil,starters
MCID3112291659,Civil,starters
MCID3112291678,Civil,starters
MCID3112291839,Civil,starters
MCID3112292393,Mechanical,starters
MCID3112292737,Civil,starters
MCID3112292771,Civil,starters
MCID3112293103,Mechanical,starters
MCID3112293197,Civil,starters
MCID3112293503,Mechanical,starters
MCID3112293753,Electrical,starters
MCID3112293845,Civil,starters
MCID3112294013,Mechanical,starters
MCID3112294127,Civil,starters
MCID3112294356,Electrical,starters
MCID3112294908,Mechanical,starters
MCID3112295082,Mechanical,starters
MCID3112295183,Mechanical,starters
MCID3112295258,Mechanical,starters
MCID3112295314,Mechanical,starters
MCID3112295546,Mechanical,starters
MCID3112295740,Mechanical,starters
MCID3112296133,Electrical,starters
MCID3112296172,Mechanical,starters
MCID3112296177,Mechanical,starters
MCID3112296192,Mechanical,starters
MCID3112296215,Mechanical,starters
MCID3112296218,Mechanical,starters
MCID3112296429,Mechanical,starters
MCID3112296441,Mechanical,starters
MCID3112296584,Civil,starters
MCID3112296838,Mechanical,starters
MCID3112296863,Mechanical,starters
MCID3112297040,Civil,starters
MCID3112297057,Mechanical,starters
MCID3112297280,Mechanical,starters
MCID3112297455,Mechanical,starters
MCID3112297614,Electrical,starters
MCID3112297884,Mechanical,starters
MCID3112297931,Civil,starters
MCID3112297969,Mechanical,starters
MCID3112298108,Mechanical,starters
MCID3112298138,Mechanical,starters
MCID3112298156,Civil,starters
MCID3112298247,Electrical,starters
MCID3112298457,Mechanical,starters
MCID3112298554,Civil,starters
MCID3112300066,Mechanical,starters
MCID3112300296,Civil,starters
MCID3112300428,Civil,starters
MCID3112300849,Mechanical,starters
MCID3112301174,Mechanical,starters
MCID3112301185,Civil,starters
MCID3112306060,Civil,starters
MCID3112306149,Mechanical,starters
MCID3112306283,Mechanical,starters
MCID3112306288,Civil,starters
MCID3112307039,Electrical,starters
MCID3112307260,Mechanical,starters
MCID3112307721,Electrical,starters
MCID3112307748,Mechanical,starters
MCID3112310713,Civil,starters
MCID3112313842,Electrical,starters
MCID3112314025,Mechanical,starters
MCID3112314878,Mechanical,starters
MCID3112315220,Electrical,starters
MCID3112317335,Mechanical,starters
MCID3112317366,Mechanical,starters
MCID3112317368,Mechanical,starters
MCID3112317636,Mechanical,starters
MCID3112325614,Mechanical,starters
MCID3112325976,Electrical,starters
MCID3112326119,Civil,starters
MCID3112326165,Mechanical,starters
MCID3112326677,Mechanical,starters
MCID3112337548,Mechanical,starters
MCID3112337677,Mechanical,starters
MCID3112337705,Mechanical,starters
MCID3112344596,Civil,starters
MCID3112345279,Mechanical,starters
MCID3112345525,Civil,starters
MCID3112345695,Mechanical,starters
MCID3112346333,Electrical,starters
MCID3112346389,Mechanical,starters
MCID3112346393,Civil,starters
MCID3112346398,Civil,starters
MCID3112347111,Electrical,starters
MCID3112347203,Civil,starters
MCID3112347260,Civil,starters
MCID3112347276,Civil,starters
MCID3112347277,Mechanical,starters
MCID3112347290,Mechanical,starters
MCID3112347424,Civil,starters
MCID3112347425,Civil,starters
MCID3112347661,Civil,starters
MCID3112347812,Mechanical,starters
MCID3112347836,Mechanical,starters
MCID3112348663,Civil,starters
MCID3112348702,Mechanical,starters
MCID3112348806,Mechanical,starters
MCID3112348848,Civil,starters
MCID3112348891,Mechanical,starters
MCID3112349296,Mechanical,starters
MCID3112349299,Mechanical,starters
MCID3112349369,Mechanical,starters
MCID3112349622,Mechanical,starters
MCID3112349825,Mechanical,starters
MCID3112349853,Civil,starters
MCID3112349925,Civil,starters
MCID3112349988,Civil,starters
MCID3112349991,Mechanical,starters
MCID3112350045,Civil,starters
MCID3112350291,Mechanical,starters
MCID3112350374,Mechanical,starters
MCID3112350384,Civil,starters
MCID3112350509,Mechanical,starters
MCID3112350696,Civil,starters
MCID3112350921,Civil,starters
MCID3112351007,Mechanical,starters
MCID3112351020,Civil,starters
MCID3112351055,Civil,starters
MCID3112351284,Mechanical,starters
MCID3112351338,Mechanical,starters
MCID3112351366,Civil,starters
MCID3112351401,Mechanical,starters
MCID3112351567,Mechanical,starters
MCID3112351610,Mechanical,starters
MCID3112351801,Civil,starters
MCID3112351809,Civil,starters
MCID3112351817,Mechanical,starters
MCID3112352131,Civil,starters
MCID3112352234,Mechanical,starters
MCID3112352366,Civil,starters
MCID3112352401,Civil,starters
MCID3112352463,Mechanical,starters
MCID3112352646,Electrical,starters
MCID3112352655,Civil,starters
MCID3112352666,Civil,starters
MCID3112352679,Mechanical,starters
MCID3112352822,Civil,starters
MCID3112352910,Mechanical,starters
MCID3112352949,Mechanical,starters
MCID3112353048,Mechanical,starters
MCID3112353138,Civil,starters
MCID3112353319,Mechanical,starters
MCID3112353332,Mechanical,starters
MCID3112353463,Mechanical,starters
MCID3112353464,Mechanical,starters
MCID3112353477,Mechanical,starters
MCID3112353588,Mechanical,starters
MCID3112353600,Electrical,starters
MCID3112353622,Mechanical,starters
MCID3112353808,Civil,starters
MCID3112353937,Mechanical,starters
MCID3112354071,Civil,starters
MCID3112354360,Mechanical,starters
MCID3112354364,Mechanical,starters
MCID3112354448,Mechanical,starters
MCID3112354500,Electrical,starters
MCID3112354592,Mechanical,starters
MCID3112354629,Mechanical,starters
MCID3112354747,Civil,starters
MCID3112356864,Mechanical,starters
MCID3112357531,Electrical,starters
MCID3112357661,Civil,starters
MCID3112362115,Electrical,starters
MCID3112363619,Electrical,starters
MCID3112363850,Mechanical,starters
MCID3112364157,Civil,starters
MCID3112365688,Civil,starters
MCID3112365717,Civil,starters
MCID3112369334,Mechanical,starters
MCID3112369897,Mechanical,starters
MCID3112372761,Civil,starters
MCID3112373211,Electrical,starters
MCID3112376836,Civil,starters
MCID3112377196,Mechanical,starters
MCID3112377262,Electrical,starters
MCID3112378113,Mechanical,starters
MCID3112385058,Electrical,starters
MCID3112385101,Civil,starters
MCID3112385141,Mechanical,starters
MCID3112385185,Electrical,starters
MCID3112385324,Mechanical,starters
MCID3112385381,Civil,starters
MCID3112387986,Mechanical,starters
MCID3112388030,Electrical,starters
MCID3112398085,Mechanical,starters
MCID3112405196,Mechanical,starters
MCID3112405267,Civil,starters
MCID3112406650,Mechanical,starters
MCID3112406924,Mechanical,starters
MCID3112406932,Civil,starters
MCID3112407364,Civil,starters
MCID3112407654,Civil,starters
MCID3112408062,Mechanical,starters
MCID3112408124,Electrical,starters
MCID3112408168,Mechanical,starters
MCID3112408196,Civil,starters
MCID3112408280,Mechanical,starters
MCID3112408289,Civil,starters
MCID3112408311,Mechanical,starters
MCID3112408381,Mechanical,starters
MCID3112408637,Mechanical,starters
MCID3112408662,Electrical,starters
MCID3112408758,Mechanical,starters
MCID3112408814,Mechanical,starters
MCID3112408834,Mechanical,starters
MCID3112408875,Mechanical,starters
MCID3112408968,Civil,starters
MCID3112408986,Mechanical,starters
MCID3112409001,Mechanical,starters
MCID3112409057,Mechanical,starters
MCID3112409802,Mechanical,starters
MCID3112409883,Civil,starters
MCID3112409986,Mechanical,starters
MCID3112410059,Mechanical,starters
MCID3112410061,Civil,starters
MCID3112410219,Mechanical,starters
MCID3112410280,Mechanical,starters
MCID3112410483,Mechanical,starters
MCID3112410526,Mechanical,starters
MCID3112410952,Mechanical,starters
MCID3112411056,Mechanical,starters
MCID3112411151,Mechanical,starters
MCID3112411195,Mechanical,starters
MCID3112411317,Mechanical,starters
MCID3112411604,Mechanical,starters
MCID3112411825,Civil,starters
MCID3112411918,Mechanical,starters
MCID3112411975,Mechanical,starters
MCID3112412280,Civil,starters
MCID3112412296,Mechanical,starters
MCID3112412300,Mechanical,starters
MCID3112412439,Electrical,starters
MCID3112412498,Mechanical,starters
MCID3112412691,Mechanical,starters
MCID3112412916,Mechanical,starters
MCID3112412923,Electrical,starters
MCID3112412936,Electrical,starters
MCID3112413037,Mechanical,starters
MCID3112413192,Mechanical,starters
MCID3112413199,Mechanical,starters
MCID3112413335,Civil,starters
MCID3112413348,Mechanical,starters
MCID3112413367,Electrical,starters
MCID3112413588,Mechanical,starters
MCID3112413624,Mechanical,starters
MCID3112413630,Civil,starters
MCID3112413667,Mechanical,starters
MCID3112413828,Civil,starters
MCID3112413853,Mechanical,starters
MCID3112414219,Electrical,starters
MCID3112414501,Mechanical,starters
MCID3112414766,Civil,starters
MCID3112414939,Mechanical,starters
MCID3112414955,Mechanical,starters
MCID3112414991,Civil,starters
MCID3112415085,Mechanical,starters
MCID3112415231,Electrical,starters
MCID3112415260,Civil,starters
MCID3112415285,Civil,starters
MCID3112415535,Electrical,starters
MCID3112415583,Civil,starters
MCID3112415920,Civil,starters
MCID3112417533,Mechanical,starters
MCID3112417833,Mechanical,starters
MCID3112424517,Mechanical,starters
MCID3112424750,Electrical,starters
MCID3112424816,Mechanical,starters
MCID3112425018,Civil,starters
MCID3112426404,Mechanical,starters
MCID3112426726,Mechanical,starters
MCID3112426887,Mechanical,starters
MCID3112427283,Mechanical,starters
MCID3112427284,Mechanical,starters
MCID3112431272,Civil,starters
MCID3112431743,Mechanical,starters
MCID3112435330,Mechanical,starters
MCID3112435587,Mechanical,starters
MCID3112435599,Mechanical,starters
MCID3112436602,Civil,starters
MCID3112440341,Mechanical,starters
MCID3112440962,Mechanical,starters
MCID3112441397,Electrical,starters
MCID3112442749,Mechanical,starters
MCID3112442793,Electrical,starters
MCID3112442803,Mechanical,starters
MCID3112443012,Civil,starters
MCID3112443149,Electrical,starters
MCID3112443178,Civil,starters
MCID3112443246,Mechanical,starters
MCID3112443444,Mechanical,starters
MCID3112443597,Electrical,starters
MCID3112446446,Mechanical,starters
MCID3112457001,Mechanical,starters
MCID3112457180,Civil,starters
MCID3112461879,Mechanical,starters
MCID3112464162,Mechanical,starters
MCID3112464423,Civil,starters
MCID3112465763,Mechanical,starters
MCID3112466471,Mechanical,starters
MCID3112466787,Electrical,starters
MCID3112466928,Mechanical,starters
MCID3112467004,Civil,starters
MCID3112467559,Mechanical,starters
MCID3112467617,Mechanical,starters
MCID3112467691,Mechanical,starters
MCID3112467751,Mechanical,starters
MCID3112467788,Mechanical,starters
MCID3112467797,Mechanical,starters
MCID3112467808,Civil,starters
MCID3112467845,Mechanical,starters
MCID3112467910,Electrical,starters
MCID3112467924,Mechanical,starters
MCID3112467925,Civil,starters
MCID3112468019,Civil,starters
MCID3112468264,Civil,starters
MCID3112468339,Mechanical,starters
MCID3112468429,Mechanical,starters
MCID3112468567,Mechanical,starters
MCID3112469091,Mechanical,starters
MCID3112469961,Electrical,starters
MCID3112470095,Mechanical,starters
MCID3112470114,Electrical,starters
MCID3112470255,Civil,starters
MCID3112470541,Civil,starters
MCID3112470677,Mechanical,starters
MCID3112470678,Mechanical,starters
MCID3112470689,Civil,starters
MCID3112470748,Mechanical,starters
MCID3112470868,Mechanical,starters
MCID3112470975,Mechanical,starters
MCID3112471040,Civil,starters
MCID3112471252,Mechanical,starters
MCID3112471350,Mechanical,starters
MCID3112471512,Civil,starters
MCID3112471559,Mechanical,starters
MCID3112471587,Mechanical,starters
MCID3112472020,Mechanical,starters
MCID3112472325,Civil,starters
MCID3112472417,Mechanical,starters
MCID3112472419,Electrical,starters
MCID3112472625,Civil,starters
MCID3112472635,Mechanical,starters
MCID3112472750,Mechanical,starters
MCID3112472806,Mechanical,starters
MCID3112473298,Civil,starters
MCID3112473450,Mechanical,starters
MCID3112473615,Mechanical,starters
MCID3112473819,Civil,starters
MCID3112473831,Mechanical,starters
MCID3112473939,Mechanical,starters
MCID3112473955,Mechanical,starters
MCID3112473964,Mechanical,starters
MCID3112474076,Electrical,starters
MCID3112474271,Civil,starters
MCID3112474376,Mechanical,starters
MCID3112474684,Mechanical,starters
MCID3112474774,Civil,starters
MCID3112474801,Civil,starters
MCID3112474805,Electrical,starters
MCID3112474881,Mechanical,starters
MCID3112474966,Mechanical,starters
MCID3112475022,Civil,starters
MCID3112475280,Civil,starters
MCID3112476422,Mechanical,starters
MCID3112476654,Civil,starters
MCID3112477147,Civil,starters
MCID3112484462,Electrical,starters
MCID3112485678,Mechanical,starters
MCID3112486336,Mechanical,starters
MCID3112486536,Electrical,starters
MCID3112486560,Mechanical,starters
MCID3112486884,Mechanical,starters
MCID3112491463,Mechanical,starters
MCID3112491665,Mechanical,starters
MCID3112491676,Civil,starters
MCID3112492422,Mechanical,starters
MCID3112492676,Mechanical,starters
MCID3112498229,Mechanical,starters
MCID3112498262,Mechanical,starters
MCID3112498354,Civil,starters
MCID3112498589,Civil,starters
MCID3112498953,Electrical,starters
MCID3112499324,Mechanical,starters
MCID3112500800,Mechanical,starters
MCID3112500815,Civil,starters
MCID3112501013,Electrical,starters
MCID3112501189,Mechanical,starters
MCID3112501204,Civil,starters
MCID3112504588,Mechanical,starters
MCID3112577717,Mechanical,starters
MCID3112580857,Mechanical,starters
MCID3112580867,Electrical,starters
MCID3112581359,Mechanical,starters
MCID3112581879,Mechanical,starters
MCID3112586098,Mechanical,starters
MCID3112587002,Mechanical,starters
MCID3112587055,Mechanical,starters
MCID3112587626,Electrical,starters
MCID3112587908,Mechanical,starters
MCID3112588539,Mechanical,starters
MCID3112588542,Mechanical,starters
MCID3112588670,Mechanical,starters
MCID3112588696,Mechanical,starters
MCID3112589272,Mechanical,starters
MCID3112589384,Electrical,starters
MCID3112589588,Electrical,starters
MCID3112589693,Mechanical,starters
MCID3112590103,Electrical,starters
MCID3112590187,Civil,starters
MCID3112590231,Mechanical,starters
MCID3112590718,Civil,starters
MCID3112591192,Mechanical,starters
MCID3112591215,Mechanical,starters
MCID3112591629,Mechanical,starters
MCID3112591812,Electrical,starters
MCID3112591858,Mechanical,starters
MCID3112592112,Mechanical,starters
MCID3112592925,Mechanical,starters
MCID3112592942,Mechanical,starters
MCID3112593131,Mechanical,starters
MCID3112593277,Mechanical,starters
MCID3112593309,Mechanical,starters
MCID3112593693,Mechanical,starters
MCID3112593860,Mechanical,starters
MCID3112594273,Mechanical,starters
MCID3112594478,Civil,starters
MCID3112594481,Mechanical,starters
MCID3112595121,Civil,starters
MCID3112595505,Mechanical,starters
MCID3112595924,Electrical,starters
MCID3112596173,Electrical,starters
MCID3112597411,Civil,starters
MCID3112603947,Civil,starters
MCID3112604323,Civil,starters
MCID3112605117,Electrical,starters
MCID3112610282,Electrical,starters
MCID3112610409,Mechanical,starters
MCID3112610426,Mechanical,starters
MCID3112610461,Mechanical,starters
MCID3112616305,Mechanical,starters
MCID3112616633,Mechanical,starters
MCID3112617647,Mechanical,starters
MCID3112617654,Electrical,starters
MCID3112617717,Mechanical,starters
MCID3112618551,Mechanical,starters
MCID3112618572,Mechanical,starters
MCID3112618976,Mechanical,starters
MCID3112619118,Electrical,starters
MCID3112619484,Electrical,starters
MCID3112619666,Mechanical,starters
MCID3111142965,Electrical,ever_enrolled
MCID3111145102,Electrical,ever_enrolled
MCID3111146537,Electrical,ever_enrolled
MCID3111146674,Electrical,ever_enrolled
MCID3111150194,Industrial,ever_enrolled
MCID3111151029,Mechanical,ever_enrolled
MCID3111156062,Civil,ever_enrolled
MCID3111156083,Electrical,ever_enrolled
MCID3111156325,Electrical,ever_enrolled
MCID3111158221,Industrial,ever_enrolled
MCID3111158631,Mechanical,ever_enrolled
MCID3111158631,Civil,ever_enrolled
MCID3111161034,Electrical,ever_enrolled
MCID3111161749,Civil,ever_enrolled
MCID3111161889,Electrical,ever_enrolled
MCID3111162963,Industrial,ever_enrolled
MCID3111163430,Mechanical,ever_enrolled
MCID3111163430,Civil,ever_enrolled
MCID3111163631,Industrial,ever_enrolled
MCID3111163631,Mechanical,ever_enrolled
MCID3111163817,Mechanical,ever_enrolled
MCID3111164269,Mechanical,ever_enrolled
MCID3111166145,Mechanical,ever_enrolled
MCID3111169529,Electrical,ever_enrolled
MCID3111170418,Mechanical,ever_enrolled
MCID3111171519,Electrical,ever_enrolled
MCID3111177798,Electrical,ever_enrolled
MCID3111178071,Electrical,ever_enrolled
MCID3111178149,Industrial,ever_enrolled
MCID3111178480,Mechanical,ever_enrolled
MCID3111178599,Electrical,ever_enrolled
MCID3111180491,Civil,ever_enrolled
MCID3111180503,Electrical,ever_enrolled
MCID3111180773,Electrical,ever_enrolled
MCID3111180817,Electrical,ever_enrolled
MCID3111180846,Mechanical,ever_enrolled
MCID3111180956,Mechanical,ever_enrolled
MCID3111181053,Civil,ever_enrolled
MCID3111181284,Civil,ever_enrolled
MCID3111181552,Civil,ever_enrolled
MCID3111184775,Civil,ever_enrolled
MCID3111185235,Civil,ever_enrolled
MCID3111185297,Mechanical,ever_enrolled
MCID3111186865,Industrial,ever_enrolled
MCID3111186869,Industrial,ever_enrolled
MCID3111187734,Electrical,ever_enrolled
MCID3111188863,Civil,ever_enrolled
MCID3111188912,Civil,ever_enrolled
MCID3111189220,Mechanical,ever_enrolled
MCID3111189315,Electrical,ever_enrolled
MCID3111189315,Civil,ever_enrolled
MCID3111189615,Civil,ever_enrolled
MCID3111189862,Electrical,ever_enrolled
MCID3111189862,Mechanical,ever_enrolled
MCID3111189863,Civil,ever_enrolled
MCID3111189912,Civil,ever_enrolled
MCID3111190083,Mechanical,ever_enrolled
MCID3111190153,Mechanical,ever_enrolled
MCID3111190337,Electrical,ever_enrolled
MCID3111190378,Industrial,ever_enrolled
MCID3111190439,Industrial,ever_enrolled
MCID3111190442,Mechanical,ever_enrolled
MCID3111190517,Electrical,ever_enrolled
MCID3111190632,Electrical,ever_enrolled
MCID3111190654,Electrical,ever_enrolled
MCID3111190696,Electrical,ever_enrolled
MCID3111190843,Industrial,ever_enrolled
MCID3111190843,Mechanical,ever_enrolled
MCID3111190911,Civil,ever_enrolled
MCID3111193350,Mechanical,ever_enrolled
MCID3111194723,Mechanical,ever_enrolled
MCID3111194996,Mechanical,ever_enrolled
MCID3111195129,Mechanical,ever_enrolled
MCID3111195218,Mechanical,ever_enrolled
MCID3111195301,Electrical,ever_enrolled
MCID3111195301,Industrial,ever_enrolled
MCID3111195308,Industrial,ever_enrolled
MCID3111195411,Electrical,ever_enrolled
MCID3111195414,Electrical,ever_enrolled
MCID3111196437,Mechanical,ever_enrolled
MCID3111198328,Civil,ever_enrolled
MCID3111198337,Civil,ever_enrolled
MCID3111199777,Industrial,ever_enrolled
MCID3111199779,Civil,ever_enrolled
MCID3111199965,Civil,ever_enrolled
MCID3111200258,Electrical,ever_enrolled
MCID3111200745,Electrical,ever_enrolled
MCID3111200745,Industrial,ever_enrolled
MCID3111201024,Industrial,ever_enrolled
MCID3111201392,Electrical,ever_enrolled
MCID3111201392,Civil,ever_enrolled
MCID3111201415,Mechanical,ever_enrolled
MCID3111201939,Electrical,ever_enrolled
MCID3111201947,Civil,ever_enrolled
MCID3111202184,Electrical,ever_enrolled
MCID3111202473,Electrical,ever_enrolled
MCID3111202481,Electrical,ever_enrolled
MCID3111202494,Mechanical,ever_enrolled
MCID3111202504,Civil,ever_enrolled
MCID3111202515,Mechanical,ever_enrolled
MCID3111202546,Mechanical,ever_enrolled
MCID3111202553,Industrial,ever_enrolled
MCID3111202571,Electrical,ever_enrolled
MCID3111202581,Mechanical,ever_enrolled
MCID3111202581,Civil,ever_enrolled
MCID3111202581,Industrial,ever_enrolled
MCID3111202802,Mechanical,ever_enrolled
MCID3111202840,Industrial,ever_enrolled
MCID3111202841,Civil,ever_enrolled
MCID3111202856,Electrical,ever_enrolled
MCID3111203132,Mechanical,ever_enrolled
MCID3111203133,Civil,ever_enrolled
MCID3111203201,Industrial,ever_enrolled
MCID3111203218,Mechanical,ever_enrolled
MCID3111203468,Civil,ever_enrolled
MCID3111203777,Electrical,ever_enrolled
MCID3111203781,Mechanical,ever_enrolled
MCID3111203781,Electrical,ever_enrolled
MCID3111203786,Civil,ever_enrolled
MCID3111203801,Mechanical,ever_enrolled
MCID3111203802,Civil,ever_enrolled
MCID3111204804,Civil,ever_enrolled
MCID3111204810,Mechanical,ever_enrolled
MCID3111204822,Mechanical,ever_enrolled
MCID3111204832,Civil,ever_enrolled
MCID3111204834,Civil,ever_enrolled
MCID3111204843,Electrical,ever_enrolled
MCID3111204843,Industrial,ever_enrolled
MCID3111204858,Industrial,ever_enrolled
MCID3111204860,Civil,ever_enrolled
MCID3111204861,Industrial,ever_enrolled
MCID3111204884,Mechanical,ever_enrolled
MCID3111204938,Mechanical,ever_enrolled
MCID3111204940,Mechanical,ever_enrolled
MCID3111204940,Civil,ever_enrolled
MCID3111204942,Electrical,ever_enrolled
MCID3111204954,Civil,ever_enrolled
MCID3111204965,Industrial,ever_enrolled
MCID3111205502,Industrial,ever_enrolled
MCID3111205508,Civil,ever_enrolled
MCID3111205519,Mechanical,ever_enrolled
MCID3111205529,Industrial,ever_enrolled
MCID3111205529,Mechanical,ever_enrolled
MCID3111205551,Electrical,ever_enrolled
MCID3111205552,Civil,ever_enrolled
MCID3111205559,Industrial,ever_enrolled
MCID3111205562,Mechanical,ever_enrolled
MCID3111205566,Mechanical,ever_enrolled
MCID3111205585,Electrical,ever_enrolled
MCID3111206066,Electrical,ever_enrolled
MCID3111206097,Mechanical,ever_enrolled
MCID3111206245,Industrial,ever_enrolled
MCID3111206503,Civil,ever_enrolled
MCID3111206506,Civil,ever_enrolled
MCID3111206510,Electrical,ever_enrolled
MCID3111206514,Mechanical,ever_enrolled
MCID3111206518,Mechanical,ever_enrolled
MCID3111206521,Civil,ever_enrolled
MCID3111206544,Mechanical,ever_enrolled
MCID3111206562,Mechanical,ever_enrolled
MCID3111206562,Industrial,ever_enrolled
MCID3111206563,Civil,ever_enrolled
MCID3111206564,Civil,ever_enrolled
MCID3111206588,Industrial,ever_enrolled
MCID3111206906,Electrical,ever_enrolled
MCID3111206930,Civil,ever_enrolled
MCID3111206936,Mechanical,ever_enrolled
MCID3111206947,Mechanical,ever_enrolled
MCID3111206968,Electrical,ever_enrolled
MCID3111206979,Industrial,ever_enrolled
MCID3111207098,Civil,ever_enrolled
MCID3111207120,Electrical,ever_enrolled
MCID3111207300,Mechanical,ever_enrolled
MCID3111207302,Mechanical,ever_enrolled
MCID3111207303,Civil,ever_enrolled
MCID3111207320,Mechanical,ever_enrolled
MCID3111207332,Electrical,ever_enrolled
MCID3111207338,Industrial,ever_enrolled
MCID3111207348,Civil,ever_enrolled
MCID3111207456,Mechanical,ever_enrolled
MCID3111207618,Electrical,ever_enrolled
MCID3111207651,Civil,ever_enrolled
MCID3111207847,Civil,ever_enrolled
MCID3111207875,Industrial,ever_enrolled
MCID3111208151,Electrical,ever_enrolled
MCID3111208159,Mechanical,ever_enrolled
MCID3111208169,Mechanical,ever_enrolled
MCID3111208170,Mechanical,ever_enrolled
MCID3111208170,Civil,ever_enrolled
MCID3111208187,Electrical,ever_enrolled
MCID3111208188,Electrical,ever_enrolled
MCID3111208202,Mechanical,ever_enrolled
MCID3111208209,Mechanical,ever_enrolled
MCID3111208232,Electrical,ever_enrolled
MCID3111208249,Electrical,ever_enrolled
MCID3111208255,Mechanical,ever_enrolled
MCID3111208282,Electrical,ever_enrolled
MCID3111208461,Electrical,ever_enrolled
MCID3111208463,Electrical,ever_enrolled
MCID3111208464,Civil,ever_enrolled
MCID3111208481,Civil,ever_enrolled
MCID3111208483,Mechanical,ever_enrolled
MCID3111208684,Electrical,ever_enrolled
MCID3111208690,Mechanical,ever_enrolled
MCID3111208695,Civil,ever_enrolled
MCID3111208698,Mechanical,ever_enrolled
MCID3111208706,Mechanical,ever_enrolled
MCID3111208774,Civil,ever_enrolled
MCID3111208792,Mechanical,ever_enrolled
MCID3111208893,Civil,ever_enrolled
MCID3111208899,Mechanical,ever_enrolled
MCID3111208899,Industrial,ever_enrolled
MCID3111208919,Mechanical,ever_enrolled
MCID3111209062,Mechanical,ever_enrolled
MCID3111209064,Electrical,ever_enrolled
MCID3111209065,Electrical,ever_enrolled
MCID3111209067,Mechanical,ever_enrolled
MCID3111209212,Civil,ever_enrolled
MCID3111209219,Electrical,ever_enrolled
MCID3111209378,Industrial,ever_enrolled
MCID3111209472,Electrical,ever_enrolled
MCID3111209537,Electrical,ever_enrolled
MCID3111209567,Electrical,ever_enrolled
MCID3111209568,Mechanical,ever_enrolled
MCID3111209609,Electrical,ever_enrolled
MCID3111212833,Mechanical,ever_enrolled
MCID3111212920,Civil,ever_enrolled
MCID3111213000,Civil,ever_enrolled
MCID3111213143,Civil,ever_enrolled
MCID3111213588,Civil,ever_enrolled
MCID3111213604,Civil,ever_enrolled
MCID3111213982,Electrical,ever_enrolled
MCID3111214072,Mechanical,ever_enrolled
MCID3111214245,Mechanical,ever_enrolled
MCID3111214331,Mechanical,ever_enrolled
MCID3111214359,Electrical,ever_enrolled
MCID3111214359,Mechanical,ever_enrolled
MCID3111214454,Electrical,ever_enrolled
MCID3111214472,Mechanical,ever_enrolled
MCID3111214490,Electrical,ever_enrolled
MCID3111214572,Mechanical,ever_enrolled
MCID3111214583,Electrical,ever_enrolled
MCID3111214596,Electrical,ever_enrolled
MCID3111214644,Mechanical,ever_enrolled
MCID3111214650,Electrical,ever_enrolled
MCID3111214701,Mechanical,ever_enrolled
MCID3111214812,Electrical,ever_enrolled
MCID3111214895,Mechanical,ever_enrolled
MCID3111214901,Electrical,ever_enrolled
MCID3111214962,Mechanical,ever_enrolled
MCID3111215008,Mechanical,ever_enrolled
MCID3111215020,Electrical,ever_enrolled
MCID3111215046,Mechanical,ever_enrolled
MCID3111215269,Mechanical,ever_enrolled
MCID3111215304,Electrical,ever_enrolled
MCID3111215321,Electrical,ever_enrolled
MCID3111215372,Electrical,ever_enrolled
MCID3111215443,Civil,ever_enrolled
MCID3111215468,Mechanical,ever_enrolled
MCID3111215533,Mechanical,ever_enrolled
MCID3111215533,Electrical,ever_enrolled
